rank,name,artists,spotify_id,album,duration_ms,explicit,popularity,added_at
1,Ordinary,Alex Warren,6qqrTXSdwiJaq8SO0X2lSe,Ordinary,186964,False,97,2025-06-30T00:54:28Z
2,Manchild,Sabrina Carpenter,42UBPzRMh5yyz0EDPr6fr1,Manchild,213645,True,98,2025-06-30T00:54:28Z
3,What I Want (feat. Tate McRae),"Morgan Wallen, Tate McRae",48NthgcgfoRrWT8LtgW28A,I’m The Problem,184517,False,75,2025-06-30T00:54:28Z
4,Just In Case,Morgan Wallen,02Ya2Q08bBKFqUJvjmyRXK,Just In Case,166206,False,84,2025-06-30T00:54:28Z
5,luther (with sza),"Kendrick Lamar, SZA",45J4avUb9Ni0bnETYaYFVJ,GNX,177598,False,90,2025-06-30T00:54:28Z
6,I'm The Problem,Morgan Wallen,3HlWVKwU0JqJXqJK9DWHnZ,I'm The Problem,177811,False,82,2025-06-30T00:54:28Z
7,A Bar Song (Tipsy),Shaboozey,2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),171291,True,89,2025-06-30T00:54:28Z
8,Die With A Smile,"Lady Gaga, Bruno Mars",2plbrEY59IikOBgBGLjaoe,Die With A Smile,251667,False,98,2025-06-30T00:54:28Z
9,Lose Control,Teddy Swims,6usohdchdzW9oML7VC4Uhk,Lose Control,210688,False,85,2025-06-30T00:54:28Z
10,Beautiful Things,Benson Boone,6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,180304,False,89,2025-06-30T00:54:28Z
11,Pink Pony Club,Chappell Roan,1k2pQc5i348DCHwbn5KTdc,The Rise and Fall of a Midwest Princess,258034,False,90,2025-06-30T00:54:28Z
12,MUTT,Leon Thomas,1mh9eHVRdNhzryG43PXdW1,MUTT,193333,True,81,2025-06-30T00:54:28Z
13,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",7221xIgOnuakPdLqT0F3nP,I Had Some Help,178205,True,86,2025-06-30T00:54:28Z
14,NOKIA,Drake,2u9S9JJ6hTZS3Vf22HOZKg,$ome $exy $ongs 4 U,241023,True,93,2025-06-30T00:54:28Z
15,BIRDS OF A FEATHER,Billie Eilish,6dOtVTDdiauQNBQEDOtlAB,HIT ME HARD AND SOFT,210373,False,100,2025-06-30T00:54:28Z
